id,name,wage,code
1,Республика Адыгея,18800,AD
2,Алтайский край,19000,GA
3,Амурская область,31400,AM
4,Архангельская область,33500,AR
5,Астраханская область,24900,AS
6,Республика Башкортостан,25600,BK
7,Белгородская область,24800,BL
8,Брянская область,18900,BR
9,Республика Бурятия,25200,BU
10,Республика Чечено-Ингушска,,CN
11,Челябинская область,24200,CL
12,Чукотский АОк,51000,CK
13,Чувашская Республика,20900,CV
14,Санкт-Петербург (горсовет),41300,SP
15,Республика Дагестан,15700,DA
16,Республика Алтай,22600,AL
17,Республика Ингушетия,18900,IN
18,Иркутская область,29500,IR
19,Ивановская область,19200,IV
20,Кабардино-Балкарская Респу,17200,KB
21,Калининградская область,26200,KN
22,Республика Калмыкия,18300,KL
23,Калужская область,24600,KG
24,Камчатская край,46000,KA
25,Карачаево-Черкессия Респуб,16400,KC
26,Республика Карелия,29500,KL
27,Кемеровская область,15900,KE
28,Хабаровский край,32000,KH
29,Республика Хакасия,29100,KK
30,Ханты-Мансийский АОк,56300,KM
31,Кировская область,20800,KV
32,Республика Коми,35800,KO
33,Костромская область,20500,KT
34,Краснодарский край,23500,KD
35,Красноярский край,26600,KY
36,Курганская область,20700,KU
37,Курская область,20700,KS
38,Ленинградская область,25500,LN
39,Липецкая область,22400,LP
40,Магаданская область,50800,MG
41,Республика Марий Эл,19300,ME
42,Республика Мордовия,19000,MR
43,Московская область,38600,
44,Московская область,50800,MS
45,Мурманская область,39700,MM
46,Ненецкий АОк,54100,NN
47,Нижегородская область,24400,NZ
48,Республика Северная Осетия,16900,NO
49,Новгородская область,24900,NG
50,Новосибирская область,16000,NS
51,Омская область,26200,OM
52,Орловская область,15300,OL
53,Оренбургская область,23700,OB
54,Пензенская область,20900,PZ
55,Пермская край,24800,PE
56,Приморский край,30900,PR
57,Псковская область,22100,PS
58,Ростовская область,21200,RO
59,Рязанская область,19400,RZ
60,Сахалинская область,46600,SL
61,Республика Саха,48600,SK
62,Самарская область,24600,SA
63,Саратовская область,21300,SR
64,Смоленская область,18200,SM
65,Ставропольский край,20000,ST
66,Свердловская область,29800,
67,Свердловская область,29800,SV
68,Свердловская область,29800,
69,Тамбовская область,19500,TB
70,Республика Татарстан,24600,TT
71,Томская область,29300,TO
72,Тульская область,23200,TL
73,Республика Тыва,27800,TU
74,Тверская область,18300,TV
75,Тюменская область,45600,TY
76,Удмуртская Республика,21300,UD
77,Ульяновская область,20800,UL
78,Владимирская область,20700,VL
79,Волгоградская область,21500,VG
80,Вологодская область,26200,VO
81,Воронежская область,23700,VR
82,Ямало-Ненецкий АОк,64200,YN
83,Ярославская область,24200,YS
84,Eврейская АОб,28400,YV
85,Забайкальский край,23000,
