geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/DatasetId,properties/VersionNumber,properties/ReleaseNumber,properties/RowId,properties/Attributes/global_id,properties/Attributes/RegisterID,properties/Attributes/Id,properties/Attributes/ObjectName,properties/Attributes/ObjectShortName,properties/Attributes/FacilityType,properties/Attributes/SportZoneName,properties/Attributes/SportZoneType,properties/Attributes/PropertyType,properties/Attributes/DepartamentalAffiliationType,properties/Attributes/DepartamentalAffiliation,properties/Attributes/AdmArea,properties/Attributes/District,properties/Attributes/Address,properties/Attributes/Email,properties/Attributes/WebSite,properties/Attributes/HelpPhone,properties/Attributes/HelpPhoneExtension,properties/Attributes/ObjectOperOrgName,properties/Attributes/ObjectOperOrgOgrn,properties/Attributes/ObjectOperOrgPhone,properties/Attributes/ObjectOperOrgPhoneExtension,properties/Attributes/ObjectOperOrgEmail,properties/Attributes/ObjectWorkingHours/0/global_id,properties/Attributes/ObjectWorkingHours/0/DayOfWeek,properties/Attributes/ObjectWorkingHours/0/Hours,properties/Attributes/ObjectWorkingHours/1/global_id,properties/Attributes/ObjectWorkingHours/1/DayOfWeek,properties/Attributes/ObjectWorkingHours/1/Hours,properties/Attributes/ObjectWorkingHours/2/global_id,properties/Attributes/ObjectWorkingHours/2/DayOfWeek,properties/Attributes/ObjectWorkingHours/2/Hours,properties/Attributes/ObjectWorkingHours/3/global_id,properties/Attributes/ObjectWorkingHours/3/DayOfWeek,properties/Attributes/ObjectWorkingHours/3/Hours,properties/Attributes/ObjectWorkingHours/4/global_id,properties/Attributes/ObjectWorkingHours/4/DayOfWeek,properties/Attributes/ObjectWorkingHours/4/Hours,properties/Attributes/ObjectWorkingHours/5/global_id,properties/Attributes/ObjectWorkingHours/5/DayOfWeek,properties/Attributes/ObjectWorkingHours/5/Hours,properties/Attributes/ObjectWorkingHours/6/global_id,properties/Attributes/ObjectWorkingHours/6/DayOfWeek,properties/Attributes/ObjectWorkingHours/6/Hours,properties/Attributes/ObjectClarificationOfWorkingHours,properties/Attributes/ObjectHasEquipmentRental,properties/Attributes/ObjectEquipmentRentalComments,properties/Attributes/ObjectHasTechService,properties/Attributes/ObjectTechServiceComments,properties/Attributes/ObjectHasDressingRoom,properties/Attributes/ObjectHasEatery,properties/Attributes/ObjectHasToilet,properties/Attributes/ObjectHasWifi,properties/Attributes/ObjectHasCashMachine,properties/Attributes/ObjectHasFirstAidPost,properties/Attributes/ObjectHasMusic,properties/Attributes/SportZoneLongitudeWGS84,properties/Attributes/SportZoneLatitudeWGS84,properties/Attributes/SportZoneUsagePeriodFrom,properties/Attributes/SportZoneUsagePeriodTo,properties/Attributes/SportZoneWorkingHours/0/global_id,properties/Attributes/SportZoneWorkingHours/0/DayOfWeek,properties/Attributes/SportZoneWorkingHours/0/Hours,properties/Attributes/SportZoneWorkingHours/1/global_id,properties/Attributes/SportZoneWorkingHours/1/DayOfWeek,properties/Attributes/SportZoneWorkingHours/1/Hours,properties/Attributes/SportZoneWorkingHours/2/global_id,properties/Attributes/SportZoneWorkingHours/2/DayOfWeek,properties/Attributes/SportZoneWorkingHours/2/Hours,properties/Attributes/SportZoneWorkingHours/3/global_id,properties/Attributes/SportZoneWorkingHours/3/DayOfWeek,properties/Attributes/SportZoneWorkingHours/3/Hours,properties/Attributes/SportZoneWorkingHours/4/global_id,properties/Attributes/SportZoneWorkingHours/4/DayOfWeek,properties/Attributes/SportZoneWorkingHours/4/Hours,properties/Attributes/SportZoneWorkingHours/5/global_id,properties/Attributes/SportZoneWorkingHours/5/DayOfWeek,properties/Attributes/SportZoneWorkingHours/5/Hours,properties/Attributes/SportZoneWorkingHours/6/global_id,properties/Attributes/SportZoneWorkingHours/6/DayOfWeek,properties/Attributes/SportZoneWorkingHours/6/Hours,properties/Attributes/SportZoneClarificationOfWorkingHours,properties/Attributes/SportZoneStatus,properties/Attributes/SportZoneArea,properties/Attributes/SportZoneLength,properties/Attributes/SportZoneWidth,properties/Attributes/SportZoneHasTribunes,properties/Attributes/SportZoneLighting,properties/Attributes/SportZoneSurfaceType,properties/Attributes/SportZonePaid,properties/Attributes/SportZonePaidComments,properties/Attributes/SportZoneHasMusic,properties/Attributes/SportZoneDisabilityFriendly,properties/Attributes/SportZoneEquipmentComments,properties/Attributes/Dataset,properties/Attributes/geoData/type,properties/Attributes/geoData/coordinates/0,properties/Attributes/geoData/coordinates/1,type,properties/Attributes/Photo/0
37.827106524588,55.731867371631,Point,1251,4,1,4fbb19a3-72b0-44cd-a926-4e4d62d41276,4492559,1010467,106922,Парк у прудов «Радуга»,Парк у прудов «Радуга»,парк (озелененная городская территория),универсальная спортивная площадка №3,универсальная спортивная площадка,государственная региональная,региональная,Департамент культуры города Москвы,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 16",ppkio@mail.ru,,(495) 309-53-42,,,,,,,111236,понедельник,07:00-22:00,111238,вторник,07:00-22:00,111240,среда,07:00-22:00,111242,четверг,07:00-22:00,111244,пятница,07:00-22:00,111246,суббота,07:00-22:00,111248,воскресенье,07:00-22:00,,нет,,нет,,нет,нет,да,нет,нет,нет,нет,37.82710652448967,55.73186737158929,01.12,31.03,111743,понедельник,07:00-22:00,111745,вторник,07:00-22:00,111747,среда,07:00-22:00,111749,четверг,07:00-22:00,111751,пятница,07:00-22:00,111753,суббота,07:00-22:00,111755,воскресенье,07:00-22:00,,функционирует,1598.5,69.5,23,,без дополнительного освещения,специальное покрытие,,,нет,,,Площадки спортивные универсальные в парках,Point,37.827106524588,55.731867371631,Feature,
37.826743085088,55.727685199966,Point,1251,4,1,541b5dc2-49c9-4605-9b78-de346b6f20c5,4492562,1010470,106922,Парк у прудов «Радуга»,Парк у прудов «Радуга»,парк (озелененная городская территория),баскетбольно-волейбольная площадка,универсальная спортивная площадка,государственная региональная,региональная,Департамент культуры города Москвы,Восточный административный округ,район Вешняки,"Вешняковская улица, дом 16",ppkio@mail.ru,,(495) 309-53-42,,,,,,,111257,понедельник,07:00-22:00,111259,вторник,07:00-22:00,111261,среда,07:00-22:00,111263,четверг,07:00-22:00,111265,пятница,07:00-22:00,111267,суббота,07:00-22:00,111269,воскресенье,07:00-22:00,,нет,,нет,,нет,нет,да,нет,нет,нет,нет,37.82674308516811,55.727685199925446,01.12,31.03,111764,понедельник,07:00-22:00,111766,вторник,07:00-22:00,111768,среда,07:00-22:00,111770,четверг,07:00-22:00,111772,пятница,07:00-22:00,111774,суббота,07:00-22:00,111776,воскресенье,07:00-22:00,,функционирует,448,28,16,,освещение лампами накаливания,специальное покрытие,,,нет,,,Площадки спортивные универсальные в парках,Point,37.826743085088,55.727685199966,Feature,
37.513439849047,55.791666899777,Point,1251,4,1,736500e8-57a9-4312-9183-204fbca7839d,4067355,1019029,103489,Парк «Березовая роща»,Парк «Березовая роща»,парк (озелененная городская территория),универсальная спортивная площадка,универсальная спортивная площадка,государственная региональная,региональная,Департамент культуры города Москвы,Северный административный округ,Хорошёвский район,"улица Куусинена, дом 15, корпус 3",,,(495) 754-98-48,,Общество с ограниченной ответственностью «ЭнергоСтиль»,1117746035109,,,,100590,понедельник,08:00-22:00,100592,вторник,08:00-22:00,100594,среда,08:00-22:00,100596,четверг,08:00-22:00,100598,пятница,08:00-22:00,100600,суббота,08:00-22:00,100601,воскресенье,08:00-22:00,,да,,нет,,нет,да,да,нет,нет,нет,нет,37.513439848658926,55.79166689954228,01.01,31.12,101104,понедельник,08:00-22:00,101106,вторник,08:00-22:00,101108,среда,08:00-22:00,101110,четверг,08:00-22:00,101112,пятница,08:00-22:00,101114,суббота,08:00-22:00,101115,воскресенье,08:00-22:00,,функционирует,800,40,20,,без дополнительного освещения,специальное покрытие,,,нет,частично приспособлен,,Площадки спортивные универсальные в парках,Point,37.513439849047,55.791666899777,Feature,
37.716664926154,55.641530410404,Point,1251,4,1,0e567aee-56a1-4e8d-b3ea-5ffd7a5f18d9,4067858,1016748,108615,Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха 850-летия Москвы»,Парк культуры и отдыха 850-летия Москвы,парк (озелененная городская территория),универсальная спортивная площадка №2,универсальная спортивная площадка,государственная региональная,региональная,Департамент культуры города Москвы,Юго-Восточный административный округ,район Марьино,"Поречная улица, дом 13, корпус 1",park850@mail.ru,www.park850.net,(495) 657-45-05,,,,,,,104116,понедельник,10:00-22:00,104118,вторник,10:00-22:00,104121,среда,10:00-22:00,104124,четверг,10:00-22:00,104128,пятница,10:00-22:00,104132,суббота,10:00-22:00,104136,воскресенье,10:00-22:00,,да,200руб,нет,,да,да,да,нет,нет,да,да,37.71666492655309,55.6415304102066,01.01,31.12,104630,понедельник,10:00-22:00,104632,вторник,10:00-22:00,104635,среда,10:00-22:00,104638,четверг,10:00-22:00,104642,пятница,10:00-22:00,104646,суббота,10:00-22:00,104650,воскресенье,10:00-22:00,,функционирует,450,30,15,,смешанное освещение,грунтовое покрытие,,,нет,приспособлен для всех групп инвалидов,,Площадки спортивные универсальные в парках,Point,37.716664926154,55.641530410404,Feature,
37.453696247521,55.85628846628,Point,1251,4,1,17ec075e-db28-42fc-96b4-a2eaafac97ee,4067898,1017379,100205,Государственное автономное учреждение культуры города Москвы «Музейно-парковый комплекс «Северное Тушино»,Парк «Северное Тушино»,парк (озелененная городская территория),универсальная спортивная площадка №1,универсальная спортивная площадка,государственная региональная,региональная,Департамент культуры города Москвы,Северо-Западный административный округ,район Северное Тушино,"улица Свободы, дом 56",info@mosparks.ru,www.mosparks.ru,(495) 640-73-55,,Государственное автономное учреждение культуры города Москвы «Музейно-парковый комплекс «Северное Тушино»,1027739481241,,,,104394,понедельник,07:00-22:00,104397,вторник,07:00-22:00,104401,среда,07:00-22:00,104404,четверг,07:00-22:00,104408,пятница,07:00-22:00,104412,суббота,07:00-22:00,104416,воскресенье,07:00-22:00,,да,,да,,да,да,да,да,нет,нет,да,37.45369624735985,55.856288466091414,01.04,30.11,104908,понедельник,07:00-00:00,104911,вторник,07:00-00:00,104915,среда,07:00-00:00,104918,четверг,07:00-00:00,104922,пятница,07:00-00:00,104926,суббота,07:00-00:00,104930,воскресенье,07:00-00:00,,функционирует,392,28,14,,освещение газоразрядными лампами,специальное покрытие,,,нет,не приспособлен,,Площадки спортивные универсальные в парках,Point,37.453696247521,55.85628846628,Feature,
37.465278589399,55.800116582681,Point,1251,4,1,a25d545f-9379-41f4-b329-71085d68ba52,4068493,1018747,109343,Лесной массив по улице Максимова,Лесной массив по улице Максимова,парк (озелененная городская территория),универсальная спортивная площадка,универсальная спортивная площадка,государственная региональная,региональная,Департамент культуры города Москвы,Северо-Западный административный округ,район Щукино,"улица Максимова, дом 6",info@mosparks.ru,www.mosparks.ru,(495) 640-73-55,,Государственное автономное учреждение культуры города Москвы «Музейно-парковый комплекс «Северное Тушино»,1027739481241,,,,107576,понедельник,07:00-22:00,107578,вторник,07:00-22:00,107580,среда,07:00-22:00,107582,четверг,07:00-22:00,107584,пятница,07:00-22:00,107586,суббота,07:00-22:00,107587,воскресенье,07:00-22:00,,нет,,нет,,нет,нет,нет,нет,нет,нет,нет,37.46527858978125,55.800116582545336,01.12,31.03,108090,понедельник,07:00-22:00,108092,вторник,07:00-22:00,108094,среда,07:00-22:00,108096,четверг,07:00-22:00,108098,пятница,07:00-22:00,108100,суббота,07:00-22:00,108101,воскресенье,07:00-22:00,,функционирует,30,6,5,,без дополнительного освещения,натуральный снег,,,нет,,,Площадки спортивные универсальные в парках,Point,37.465278589399,55.800116582681,Feature,
37.452766007908,55.855982965,Point,1251,4,1,bf942784-4d22-4dfe-865d-ecee2563cf36,4067921,1017400,100205,Государственное автономное учреждение культуры города Москвы «Музейно-парковый комплекс «Северное Тушино»,Парк «Северное Тушино»,парк (озелененная городская территория),универсальная спортивная площадка №4,универсальная спортивная площадка,государственная региональная,региональная,Департамент культуры города Москвы,Северо-Западный административный округ,район Северное Тушино,"улица Свободы, дом 56",info@mosparks.ru,www.mosparks.ru,(495) 640-73-55,,Государственное автономное учреждение культуры города Москвы «Музейно-парковый комплекс «Северное Тушино»,1027739481241,,,,104546,понедельник,07:00-22:00,104550,вторник,07:00-22:00,104554,среда,07:00-22:00,104558,четверг,07:00-22:00,104560,пятница,07:00-22:00,104562,суббота,07:00-22:00,104563,воскресенье,07:00-22:00,,да,,да,,да,да,да,да,нет,нет,да,37.45276600802984,55.855982965145756,01.04,30.11,105059,понедельник,07:00-00:00,105064,вторник,07:00-00:00,105068,среда,07:00-00:00,105072,четверг,07:00-00:00,105074,пятница,07:00-00:00,105076,суббота,07:00-00:00,105077,воскресенье,07:00-00:00,,функционирует,800,40,20,,освещение газоразрядными лампами,отсыпное покрытие,,,нет,не приспособлен,,Площадки спортивные универсальные в парках,Point,37.452766007908,55.855982965,Feature,
37.562139288484,55.897261576021,Point,1251,4,1,abc74ccd-2ecb-43a7-afb2-9cab8db9a620,4068665,1016070,103905,Природный комплекс № 27 планируемый к созданию «Ландшафтный заказник «Лианозовский»,ПК № 27 планируемый к созданию ЛЗ «Лианозовский»,парк (озелененная городская территория),универсальная спортивная площадка №2,универсальная спортивная площадка,государственная региональная,региональная,Департамент природопользования и охраны окружающей среды города Москвы,Северо-Восточный административный округ,район Лианозово,"Угличская улица, дом 11, строение 1",dir-svao@eco.mos.ru,,(495) 579-29-76,,ГПБУ «Мосприрода»,1047796250710,,,,108574,понедельник,08:00-22:00,108576,вторник,08:00-22:00,108577,среда,08:00-22:00,108578,четверг,08:00-22:00,108579,пятница,08:00-22:00,108580,суббота,08:00-22:00,108581,воскресенье,08:00-22:00,,нет,,нет,,нет,нет,да,нет,нет,нет,нет,37.56213928839137,55.897261575985326,01.12,31.03,109088,понедельник,08:00-22:00,109090,вторник,08:00-22:00,109091,среда,08:00-22:00,109092,четверг,08:00-22:00,109093,пятница,08:00-22:00,109094,суббота,08:00-22:00,109095,воскресенье,08:00-22:00,,функционирует,162,18,9,,без дополнительного освещения,натуральный снег,,,нет,,,Площадки спортивные универсальные в парках,Point,37.562139288484,55.897261576021,Feature,
37.557220116683,55.900617319519,Point,1251,4,1,318b18a6-cde9-4c84-b342-bb1d2ef521f9,4068666,1016071,103905,Природный комплекс № 27 планируемый к созданию «Ландшафтный заказник «Лианозовский»,ПК № 27 планируемый к созданию ЛЗ «Лианозовский»,парк (озелененная городская территория),универсальная спортивная площадка №3,универсальная спортивная площадка,государственная региональная,региональная,Департамент природопользования и охраны окружающей среды города Москвы,Северо-Восточный административный округ,район Лианозово,"Угличская улица, дом 11, строение 1",dir-svao@eco.mos.ru,,(495) 579-29-76,,ГПБУ «Мосприрода»,1047796250710,,,,108582,понедельник,08:00-22:00,108583,вторник,08:00-22:00,108584,среда,08:00-22:00,108585,четверг,08:00-22:00,108586,пятница,08:00-22:00,108587,суббота,08:00-22:00,108588,воскресенье,08:00-22:00,,нет,,нет,,нет,нет,да,нет,нет,нет,нет,37.55722011705755,55.90061731970003,01.12,31.03,109096,понедельник,08:00-22:00,109097,вторник,08:00-22:00,109098,среда,08:00-22:00,109099,четверг,08:00-22:00,109100,пятница,08:00-22:00,109101,суббота,08:00-22:00,109102,воскресенье,08:00-22:00,,функционирует,200,20,10,,освещение лампами накаливания,натуральный снег,,,нет,,,Площадки спортивные универсальные в парках,Point,37.557220116683,55.900617319519,Feature,
37.565266744399,55.90383888949,Point,1251,4,1,3d676013-3eeb-4bb4-8710-c067b6e02dc9,4068667,1016072,103905,Природный комплекс № 27 планируемый к созданию «Ландшафтный заказник «Лианозовский»,ПК № 27 планируемый к созданию ЛЗ «Лианозовский»,парк (озелененная городская территория),универсальная спортивная площадка №1,универсальная спортивная площадка,государственная региональная,региональная,Департамент природопользования и охраны окружающей среды города Москвы,Северо-Восточный административный округ,район Лианозово,"Угличская улица, дом 11, строение 1",dir-svao@eco.mos.ru,,(495) 579-29-76,,ГПБУ «Мосприрода»,1047796250710,,,,108589,понедельник,08:00-22:00,108590,вторник,08:00-22:00,108591,среда,08:00-22:00,108592,четверг,08:00-22:00,108593,пятница,08:00-22:00,108594,суббота,08:00-22:00,108595,воскресенье,08:00-22:00,,нет,,нет,,нет,нет,да,нет,нет,нет,нет,37.56526674410286,55.90383888939342,01.12,31.03,109103,понедельник,08:00-22:00,109104,вторник,08:00-22:00,109105,среда,08:00-22:00,109106,четверг,08:00-22:00,109107,пятница,08:00-22:00,109108,суббота,08:00-22:00,109109,воскресенье,08:00-22:00,,функционирует,200,20,10,,без дополнительного освещения,натуральный снег,,,нет,,,Площадки спортивные универсальные в парках,Point,37.565266744399,55.90383888949,Feature,
